# Observation window: t in [0, 100.00]
# Time         Signal           Std. Dev
 33.8262765    96.4480898       6.96158
 33.9316339   101.8462007       6.97963
 35.1596732   111.7167367       7.27325
 35.4636729    96.2691582       7.35334
 36.2059062   102.4700362       7.52956
 37.5758890   103.0665986       7.71264
 37.8580350   107.6139104       7.72153
 38.3519512    98.9828987       7.71189
 39.1009903    93.4325175       7.63803
 39.2008616   109.0673739       7.62323
 40.3982840   102.8702837       7.38484
 41.5026434    75.0506598       7.16942
 41.5809110    82.6516599       7.15891
 41.7036126    81.2183945       7.14434
 41.7290080    88.9168948       7.14163
 42.6999135    85.3706595       7.12946
 43.0908290    99.1045117       7.17682
 43.6968119    82.5073822       7.29848
 44.7392861    98.7980336       7.56576
 45.2257949   101.7987433       7.67513
 46.1342003   100.0259148       7.79246
 46.3396587   117.6686353       7.79959
 46.6707957   111.3925137       7.79536
 47.1195838   106.2217326       7.76003
 48.9978446    96.7902691       7.35631
 49.0564412    88.8341055       7.34044
 49.0914032    96.7679052       7.33096
 49.2594765    86.1800017       7.28540
 50.2343900    78.8896215       7.03830
 50.3453782    89.3937582       7.01397
 50.4978809    89.1153018       6.98245
 51.8968983    82.1022221       6.83666
 52.0300776    79.7732480       6.83910
 52.5685784    81.5421215       6.87952
 53.2293875    91.0243307       6.98769
 55.6660351    92.8287995       7.47016
 55.7880128   101.7369105       7.48036
 55.8224927   115.8112160       7.48286
 57.2542486   101.9622635       7.45493
 57.2712169    97.3120776       7.45339
 57.5560049   116.4357180       7.42539
 57.9014504   110.5054087       7.38794
 58.4103176    95.2295951       7.33330
 59.6142658   103.2193842       7.25871
 60.1703252    85.1058019       7.26735
 60.1953322    82.1091473       7.26847
 60.5118118    86.5717667       7.28819
 60.7703525    97.0378430       7.31181
 61.0185057    98.7333985       7.34063
 61.1583383    98.7590809       7.35943
 61.2832948    92.5737116       7.37773
 61.6402476    91.5136458       7.43723
 62.8598411   103.9313336       7.69587
 63.0852997   101.0249320       7.74660
 63.1403260   105.9914014       7.75880
 63.1849404   105.6469598       7.76861
 64.0051961   108.8974964       7.92624
 64.0305034   111.8678491       7.93010
 64.0771924   117.7872712       7.93704
 64.6108190   126.3622855       7.99507
 65.9228664   122.9877424       7.93604
 66.6566648   110.7940464       7.78620
 67.1038305   102.5314804       7.67273
 67.8257715    99.6773004       7.49250
 68.1870409   100.2825063       7.41857
 68.4894784    83.9495327       7.37092
 69.5994804   101.4932683       7.33633
 69.7493962    90.7835660       7.34867
 70.1532725    93.8404223       7.39875
 70.6078225   105.8958959       7.47831
 71.4112677   106.8148264       7.64994
 71.5686721   107.3214968       7.68466
 72.4930083   114.9932614       7.87100
 72.5332483   107.7181128       7.87800
 73.2271211   117.9707809       7.97789
 73.7838298   104.6049006       8.02514
 74.0861997   121.5626879       8.03699
 74.7355698   113.9980661       8.02763
 75.4214785   126.4410067       7.96655
 75.5482188   121.0652157       7.94996
 75.6410450   118.1907680       7.93687
 75.7666758   115.5428255       7.91798
 76.2350622   112.1243337       7.83745
 76.3583474   116.0957851       7.81423
 76.6471930   113.9348634       7.75800
 77.2495174    96.5120360       7.64137
 77.6154763    98.3028956       7.57874
 77.9867291   108.2921543       7.52787
 78.2702141   107.1362529       7.50048
 79.1254423    99.8413634       7.49235
 79.1828896   105.0553430       7.49607
 79.4929107   100.3470257       7.52522
 79.5695943   106.0474320       7.53470
 79.7153091    98.0207250       7.55503
 79.9133483    89.7548198       7.58724
 80.8281869    96.5958418       7.78664
 81.5701234   106.7434440       7.97263
 81.7399057   119.0399709       8.01361
 81.8156286   102.9048222       8.03142
 82.4321171   111.6052935       8.16078
 82.6514005   122.3955157       8.19811
 83.5315991   118.4040248       8.28713
 83.5427259   125.0517780       8.28756
 84.2630787   124.5157520       8.27632
 84.4887932   114.5642831       8.25703
 84.6496218   126.1532085       8.23892
 86.1890716   114.1102378       7.93155
 86.5737516   124.6026477       7.84043
 86.7100831    87.1644297       7.80957
 86.7613624    97.4644298       7.79827
 87.2118439    93.9846247       7.70921
 87.5280063   111.4298872       7.66124
 88.0245866   102.5443587       7.61738
 89.2181450   102.5142110       7.68456
 89.6073446   110.6696576       7.74967
 91.3913646   116.2035321       8.08693
 92.0235861   110.0347296       8.14966
 92.4601358   121.7524442       8.16287
 92.7165020   114.1910909       8.15880
 92.8001187   123.7714383       8.15562
 92.8569906   114.7993005       8.15294
 93.6719209    94.0159112       8.07262
 95.4231960   110.1206071       7.73647
 95.4544559   105.6183304       7.73009
 95.7814097    98.9574421       7.66583
 96.0862581   106.8296501       7.61196
 96.0863907   110.4811373       7.61194
 97.3670854    99.2963820       7.49936
 97.8682634    88.3401662       7.52027
 98.5625633    97.2201967       7.60750
 98.7145827   102.3353157       7.63374
 98.8493866    92.3681902       7.65855
 99.6980477   120.7061379       7.82956
